review_id,firm_id,year,culture_sentiment,text,rating_overall,rating_culture
1071885,3336,2018.0,con," a pretty much toxic environment now with lots of cost cutting. No pay raise for last 7 years now in a row, no bonuses and morale generally all time low. All the good folks from sales and delivery leadership have left. its CSC (us) versus HPE (them) culture. Left as couldnt see any alignment with the company's future and the prevailing culture.",1,0.0
3883883,142956,2018.0,con,"Toxic culture, no senior or mid-level leadership, does not support the military, brought in a guest speaker that bashed President Trump, prefers revenue over quality  products or doing the right thing,  promotes people because they speak well not because they perform honorably,  senior leadership care about the stock price and not the employee, no accountability for mediocre work ethic,  finger pointing rather than team building, and managers who have never led people.   Omnicell is only b",1,1.0
7404577,100080,2017.0,con,"Bayer Pymble Office- Lack of Integrity, Big Boys Club, Senior managers appointed based on how well liked they are with the General Managers not on skills and leadership qualities, feedback culture is a joke...all feedback is down hill,....listen to lead also a  joke...lots of toxicity due to the types of people who are left....very political......",1,1.0
4232816,21825,2021.0,pro,"There are career opportunities within the bank. We have Business Resource Groups where colleagues have an opportunity help our colleagues and our culture continuously improve. Membership in one or more BRGs lets you contribute to Citizens' diverse and inclusive environment and provides an opportunity to support your fellow colleagues, as well as our customers, communities and shareholders. Diversity and inclusion help build our culture, create innovation and drive opportunity.",4,3.0
5528834,149177,2022.0,con,Toxic work culture. Old-school managerial style where leadership overworks employees until they burn out. No credit is given where it's due. Some of the talents' energy brings down morale of the newsroom along with their lack of collaboration with the team.,2,2.0
6357545,33232,2018.0,pro,"I joined recently to Zuora. After a long recruitment process, I had very high expectations. I didn't expect all boxes to be ticked so quickly! Culture - dynamic, agile, friendly, professional. An industry innovator and thought leader. Attract top talents - if you are here you know you are a top performer in your area of expertise. Diversity and Inclusion - very few companies walk the walk the way Zuora does.  From recruitment to inclusion to be yourself. Zuora defines the best practice for",5,5.0
570892,63987,2018.0,con,"ed company, constant change of direction without no transparency or logic behind. Seems to bring the worst out in people due to an enormous pressure, messy atmosphere, no respect to employees or their contribution, and opposite-of-supportive working cultures, especially at management level.",1,1.0
928413,12892,2021.0,pro,"A great company that cares for its customers, people and the community. A brilliant leadership team and employees that values trust, integrity, diversity and respect. Excellent opportunities to develop and grow both professionally and personally.",5,5.0
3542232,32382,2022.0,pro,"I've been working for 20+ years and I can honestly say that Roku is one of the best companies I ever worked at. There is an opportunity to make an impact at every level and your contributions are valued. The culture supports and values a collaborative environment without the toxicity of politics yet expects accountability from everyone. I love working with my team and peers, and appreciate the transparency and communications from senior leadership.",5,5.0
6736961,10860,2019.0,pro,"Good work culture. Good pay which comes on-time. Company provides a great learning platform to employees by giving them more opportunities to attend trainings, certifications and seminars. Supportive leadership. Highly engaged and talented people in this organization, making it a great place to work. Excellent benefits. Stable work environment. Good work life balance.",5,5.0
2797203,14954,2019.0,pro,"A very approachable leadership team.  Transparency pertaining to financials and company growth.  Company culture is the best I've experienced in my career.  With so many emerging technologies, I feel that I've joined a stable company, which means eventual room for advancement.  If you want to work with smart, talented people who care about the work they're doing, this is the place for you.",5,5.0
2350599,18556,2021.0,pro,"The most important thing that chegg offers - work life balance. Apart from that there are plenty of learning opportunities. Chegg relies on the latest tools and tech stack, tech culture is innovation driven and it offers transparency at all levels, all engineers are welcome to ask questions to leadership.",5,5.0
